brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
HP,Athlon,AMD,Athlon Dual,10th,32 GB GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,14,0,No,No,26899,27668,2,0,0,0
ASUS,ExpertBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,Missing,0,No,No,69990,0,0,0,0,0
ASUS,ExpertBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,35990,42990,16,0,0,0
HP,x360,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,56490,64923,12,0,0,0
HP,x360,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,65390,76436,14,0,0,0
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,43312,8,4.3,1267,171
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5
DELL,Vostro,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6,10,5
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,59654,28,4.8,9,1
